"taxon","Comparison","LFC","Adj P Value","Significance","Standard_error"
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","PD vs IBD",-3.08864842779093,5.74992055097568e-08,TRUE,0.534091003842604
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation","PD vs IBD",-3.08864842779093,5.74992055097568e-08,TRUE,0.534091003842604
"AST-PWY: L-arginine degradation II (AST pathway)","PD vs IBD",-3.55013579986182,1.89776271133623e-07,TRUE,0.636362493093171
"PWY-7858: (5Z)-dodecenoate biosynthesis II","PD vs IBD",-3.42429768392697,1.57470085585037e-06,TRUE,0.658715679598533
"PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)","PD vs IBD",-3.17954343428638,1.97655715155716e-06,TRUE,0.616665556484505
"PWY0-1338: polymyxin resistance","PD vs IBD",-3.12831945665595,2.75633172603962e-06,TRUE,0.61419482471059
"PWY-7118: chitin deacetylation","PD vs IBD",-3.1880679881082,2.96352202403577e-06,TRUE,0.62762008672993
"GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation","PD vs IBD",-2.81829471525571,3.26931809707471e-06,TRUE,0.556873436980201
"ECASYN-PWY: enterobacterial common antigen biosynthesis","PD vs IBD",-2.6306181208628,4.32144489141765e-06,TRUE,0.525338667010827
"GLUCARDEG-PWY: D-glucarate degradation I","PD vs IBD",-3.27112530676866,4.52293590374356e-06,TRUE,0.654396584974835
"PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation","PD vs IBD",-3.27386081830848,4.70637918736651e-06,TRUE,0.655950708962884
"KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis","PD vs IBD",-2.57392330186517,6.99092805004007e-06,TRUE,0.523789423389585
"GALACTARDEG-PWY: D-galactarate degradation I","PD vs IBD",-3.2376209231096,1.03919840100811e-05,TRUE,0.66951306299474
"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation","PD vs IBD",-3.2376209231096,1.03919840100811e-05,TRUE,0.66951306299474
"PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","PD vs IBD",-3.12583785004559,1.04440863619833e-05,TRUE,0.646530255447525
"FAO-PWY: fatty acid &beta;-oxidation I (generic)","PD vs IBD",-3.63551070525881,1.0651706660197e-05,TRUE,0.752557791066441
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)","PD vs IBD",-3.19800634090838,1.27088625665687e-05,TRUE,0.666862725078662
"HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate","PD vs IBD",-3.02314957563863,1.32989100438108e-05,TRUE,0.631599901053567
"PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate","PD vs IBD",-3.02314957563863,1.32989100438108e-05,TRUE,0.631599901053567
"PWY-5747: 2-methylcitrate cycle II","PD vs IBD",-2.63129630539062,1.33478883407035e-05,TRUE,0.549818258577991
"PWY-6285: superpathway of fatty acids biosynthesis (E. coli)","PD vs IBD",-3.44862124366491,1.53946289147553e-05,TRUE,0.724953034691845
"PWY-561: superpathway of glyoxylate cycle and fatty acid degradation","PD vs IBD",-3.45750601984692,1.57314187461527e-05,TRUE,0.727489393611488
"ORNDEG-PWY: superpathway of ornithine degradation","PD vs IBD",-3.40585686973312,1.64416008772536e-05,TRUE,0.717971340889114
"PWY-6961: L-ascorbate degradation II (bacterial, aerobic)","PD vs IBD",-3.04111690391385,1.92424374954346e-05,TRUE,0.645429340119158
"PWY0-42: 2-methylcitrate cycle I","PD vs IBD",-2.9835662114746,2.24936798936949e-05,TRUE,0.637532375203393
"PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)","PD vs IBD",-2.48143697582073,2.48090586495838e-05,TRUE,0.532527050430352
"DARABCATK12-PWY: D-arabinose degradation I","PD vs IBD",-2.32881633275923,2.85473544137711e-05,TRUE,0.502901085376876
"PWY0-1337: oleate &beta;-oxidation","PD vs IBD",-2.82259387868714,2.92714687147881e-05,TRUE,0.610214637879599
"PWY-7094: fatty acid salvage","PD vs IBD",-2.79570383261149,3.25201168624661e-05,TRUE,0.607271153710521
"PWY-5675: nitrate reduction V (assimilatory)","PD vs IBD",-3.17494533084241,4.53242514975071e-05,TRUE,0.700233084565945
"P122-PWY: heterolactic fermentation","PD vs IBD",-2.68395448839755,5.36006065280481e-05,TRUE,0.596620837870804
"PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III","PD vs IBD",-3.08067138709155,7.85657789728254e-05,TRUE,0.697520817790362
"PWY-7385: 1,3-propanediol biosynthesis (engineered)","PD vs IBD",-2.73105876159254,8.97416302959527e-05,TRUE,0.622427557785157
"PWY-7269: mitochondrial NADPH production (yeast)","PD vs IBD",-2.39589213030153,0.000172116072218633,TRUE,0.564547530530764
"PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I","PD vs IBD",-2.836232146962,0.00017337121378875,TRUE,0.668562253781367
"HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)","PD vs IBD",-2.99173725043065,0.000194248430425212,TRUE,0.709496465627765
"PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)","PD vs IBD",-2.82238861260481,0.000203509475829677,TRUE,0.671009036567874
"PWY-5850: superpathway of menaquinol-6 biosynthesis","PD vs IBD",-2.92024052936377,0.000216394319918228,TRUE,0.696575125749351
"PWY-5896: superpathway of menaquinol-10 biosynthesis","PD vs IBD",-2.92024052936377,0.000216394319918228,TRUE,0.696575125749351
"TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA","PD vs IBD",-3.10356588396288,0.000238765387301189,TRUE,0.744275153953551
"PWY-6803: phosphatidylcholine acyl editing","PD vs IBD",-3.04604905717,0.000261145098951088,TRUE,0.734084504555063
"SO4ASSIM-PWY: assimilatory sulfate reduction I","PD vs IBD",-2.64913893960218,0.000303551436737313,TRUE,0.643795741647381
"PWY-5723: Rubisco shunt","PD vs IBD",-3.18223805902902,0.000361781116662662,TRUE,0.781068114089872
"METHGLYUT-PWY: superpathway of methylglyoxal degradation","PD vs IBD",-2.12972019859922,0.000442864628442801,TRUE,0.528873872262331
"HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)","PD vs IBD",-2.88733936757867,0.000481150968829873,TRUE,0.720511037107143
"PWY-7616: methanol oxidation to carbon dioxide","PD vs IBD",-1.71601931230764,0.000694463790815128,TRUE,0.437969991472219
"PWY0-41: allantoin degradation IV (anaerobic)","PD vs IBD",-1.87203489525701,0.000718716498215394,TRUE,0.478596814866405
"PWY-7807: glyphosate degradation III","PD vs IBD",-1.95368891047199,0.000728647972766923,TRUE,0.499895824996486
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass","PD vs IBD",-2.23438969446813,0.000764989379053072,TRUE,0.5734476262736
"PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis","PD vs IBD",-2.50632977875214,0.000771186739359419,TRUE,0.649100626465604
"GALACTITOLCAT-PWY: galactitol degradation","PD vs IBD",-2.53966573355447,0.000771294003273986,TRUE,0.652128496024875
"NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)","PD vs IBD",-2.17817379594362,0.000780805266589741,TRUE,0.559732753345898
"P221-PWY: octane oxidation","PD vs IBD",-2.16972457053254,0.000837734615706823,TRUE,0.560023263946351
"PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","PD vs IBD",-2.31070796084033,0.00091813057011497,TRUE,0.599876795522136
"UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (early decarboxylation)","PD vs IBD",-1.93953528639939,0.000956088525908315,TRUE,0.504818907609214
"PWY-5845: superpathway of menaquinol-9 biosynthesis","PD vs IBD",-2.56495027660846,0.000989348901604366,TRUE,0.674997254613213
"PWY-5920: superpathway of heme b biosynthesis from glycine","PD vs IBD",-2.67542766014848,0.00101023978392235,TRUE,0.69881849377596
"HOMOSER-METSYN-PWY: L-methionine biosynthesis I","PD vs IBD",-2.64440907197755,0.00102344428067422,TRUE,0.691293893149802
"PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I","PD vs IBD",-2.40860177913347,0.00104032829462119,TRUE,0.630314319952777
"PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)","PD vs IBD",-1.8907275304771,0.00107692503317943,TRUE,0.495897661491592
"PWY-5705: allantoin degradation to glyoxylate III","PD vs IBD",-1.93610749963284,0.00113494914951627,TRUE,0.509535265961491
"PWY0-461: L-lysine degradation I","PD vs IBD",-1.91239845453192,0.00116732625356533,TRUE,0.508786093554869
"GLYOXYLATE-BYPASS: glyoxylate cycle","PD vs IBD",-2.36417634007366,0.00120016180600002,TRUE,0.624471520288281
"PWY-7805: (aminomethyl)phosphonate degradation","PD vs IBD",-1.83473690280421,0.00131120012002256,TRUE,0.491944373007858
"PWY-5692: allantoin degradation to glyoxylate II","PD vs IBD",-1.68231020819334,0.00135606589213649,TRUE,0.447970111620105
"URDEGR-PWY: superpathway of allantoin degradation in plants","PD vs IBD",-1.68231020819334,0.00135606589213649,TRUE,0.447970111620105
"SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis","PD vs IBD",-2.49449618596111,0.00139438687528198,TRUE,0.665478932439078
"PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)","PD vs IBD",-2.52790346653313,0.00149893698626995,TRUE,0.677677416213675
"PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis","PD vs IBD",-2.41791608228577,0.00159302043572423,TRUE,0.650873180400315
"PWY-5971: palmitate biosynthesis (type II fatty acid synthase)","PD vs IBD",-2.83222033024166,0.00160274035426902,TRUE,0.762714650498562
"PWY-5367: petroselinate biosynthesis","PD vs IBD",-2.16978470574586,0.00217670811172647,TRUE,0.59688550749054
"PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I","PD vs IBD",-2.53135470438223,0.00229983693317346,TRUE,0.699082349055689
"METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis","PD vs IBD",-2.59975549120706,0.00297021114131107,TRUE,0.731449356333114
"PWY0-1533: methylphosphonate degradation I","PD vs IBD",-1.61051773122967,0.00326234092488106,TRUE,0.461041678876247
"PWY-6612: superpathway of tetrahydrofolate biosynthesis","PD vs IBD",-2.14039789229989,0.00334519857342491,TRUE,0.607573313330179
"PWY-5838: superpathway of menaquinol-8 biosynthesis I","PD vs IBD",-2.52816014547032,0.00348726035360984,TRUE,0.719899227015217
"PWY1ZNC-1: assimilatory sulfate reduction IV","PD vs IBD",-2.18840461293611,0.00350882571586142,TRUE,0.623444024253453
"PWY-5897: superpathway of menaquinol-11 biosynthesis","PD vs IBD",-2.5183844101653,0.0035717869969215,TRUE,0.71841875644139
"PWY-5898: superpathway of menaquinol-12 biosynthesis","PD vs IBD",-2.5183844101653,0.0035717869969215,TRUE,0.71841875644139
"PWY-5899: superpathway of menaquinol-13 biosynthesis","PD vs IBD",-2.5183844101653,0.0035717869969215,TRUE,0.71841875644139
"PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)","PD vs IBD",-2.58358996355126,0.00359379839776866,TRUE,0.737364010557852
"FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage","PD vs IBD",-2.22326582035603,0.00389804866428516,TRUE,0.638480977935376
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation","PD vs IBD",-2.04266467153784,0.00415108806068854,TRUE,0.589472733979702
"PWY-6531: mannitol cycle","PD vs IBD",-2.31225160565888,0.00417371450634059,TRUE,0.667551864463143
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","PD vs IBD",-2.49005443294982,0.00425204974325309,TRUE,0.719924266018202
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type","PD vs IBD",-1.90943703786425,0.00426950845651548,TRUE,0.552232472127766
"MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis","PD vs IBD",-2.54901965430559,0.00429558118130451,TRUE,0.73755754056644
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I","PD vs IBD",-2.14184799442842,0.00429924533782845,TRUE,0.619783844734265
"P108-PWY: pyruvate fermentation to propanoate I","PD vs IBD",-2.02663404944611,0.00455127974684624,TRUE,0.589067310133851
"PWY0-781: aspartate superpathway","PD vs IBD",-2.46573482016239,0.00511645154421721,TRUE,0.72338506877411
"PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III","PD vs IBD",-2.08301109752668,0.00524006548574259,TRUE,0.612274399414876
"PWY-801: homocysteine and cysteine interconversion","PD vs IBD",-1.97466745477621,0.00537669452001594,TRUE,0.581631875791849
"PWY-7883: anhydromuropeptides recycling II","PD vs IBD",-2.02769462902205,0.00561180657474812,TRUE,0.599322469852178
"KETOGLUCONMET-PWY: ketogluconate metabolism","PD vs IBD",-2.09119854181993,0.00760153016192086,TRUE,0.633877548094587
"GLUDEG-I-PWY: GABA shunt","PD vs IBD",-1.80669514421093,0.00761189086414764,TRUE,0.547703248719504
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)","PD vs IBD",-1.56962566262295,0.00770473619947934,TRUE,0.481966548864245
"PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP","PD vs IBD",-2.07588320717681,0.00860807782531326,TRUE,0.635995792585426
"PWY-7942: 5-oxo-L-proline metabolism","PD vs IBD",-2.03627320064011,0.00907034145787386,TRUE,0.626711599296885
"PWY-702: L-methionine biosynthesis II","PD vs IBD",-1.45446243478189,0.00956107552273595,TRUE,0.449724116795968
"PWY-7315: dTDP-N-acetylthomosamine biosynthesis","PD vs IBD",-2.02226543946126,0.00977869459731988,TRUE,0.626536734160612
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)","PD vs IBD",-1.45875608144242,0.0148319757769537,TRUE,0.469574305037445
"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation","PD vs IBD",-1.93244793904599,0.0157026767345284,TRUE,0.625459600557811
"PWY0-1479: tRNA processing","PD vs IBD",-2.1229774213126,0.0164747786885232,TRUE,0.690318645385856
"PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)","PD vs IBD",-2.27916772588986,0.0174254830554999,TRUE,0.745169772781645
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis","PD vs IBD",-2.00805733609535,0.0180588906715829,TRUE,0.658838501161076
"PWY-7874: L-threonate degradation","PD vs IBD",-1.40691978589906,0.0191578836976473,TRUE,0.470761896900516
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)","PD vs IBD",-1.89690597654038,0.0199121872386392,TRUE,0.628448553208487
"PWY66-430: myristate biosynthesis (mitochondria)","PD vs IBD",-1.89849103310863,0.0199337538662182,TRUE,0.629042046942121
"PWY-5497: purine nucleobases degradation II (anaerobic)","PD vs IBD",-1.81995991471679,0.020697535786066,TRUE,0.605310669628289
"FUCCAT-PWY: fucose degradation","PD vs IBD",-1.68418066326543,0.0232754464467984,TRUE,0.566914232949312
"PWY-7204: pyridoxal 5'-phosphate salvage II (plants)","PD vs IBD",-1.90412774263471,0.0373484601583701,TRUE,0.685345776174952
